Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
HERMOSODEPARTAMENTOAMOBLADO2D+1BMETROELLLANO,San Miguel,,,2.0,1.0,0,,Sin dato
"LINDODEPARTAMENTO3D+1B+EST,CERCANOAMETROCIUDADDELNIÑO!!",San Miguel,,,3.0,1.0,1,,Sin dato
HERMOSOYMUYBIENUBICADODEP02H02B01EST01BODEGA,Ñuñoa,650000.0,80.0,2.0,2.0,1,8125.0,Grande (75-99m2)
"HERMOSODEPARTAMENTO1B+1D+ESTACIONAMIENTO,COMUNADESANMIGUEL",San Miguel,,,1.0,1.0,1,,Sin dato
SEARRIENDACÓMODOYBIENUBICADODEP01H01BQUINTAAV1475,San Miguel,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTODE1D+1BAMOBLADOCERCADEMETROESTADIONACIONAL!,Ñuñoa,,,1.0,1.0,0,,Sin dato
"DEPARTAMENTOIndependencia560,independencia",Independencia,,,1.0,1.0,0,,Sin dato
BELLODEPARTAMENTO1D+1BCERCANOAMETROSANALBERTOHURTADO,Santiago,,,1.0,1.0,0,,Sin dato
BELLODEPARTAMENTO1D+1BCERCAALMETROECUADOR,La Cisterna,250000.0,,1.0,1.0,0,,Sin dato
SearriendaDepto2D+2B+Est+BodcercanoaMetroSanAlbertoHurtado,Estación Central,,,2.0,2.0,1,,Sin dato
"HERMOSODEPARTAMENTO1D+1B+ESTACIONAMIENTO,METROFRANKLIN",San Miguel,,,1.0,1.0,1,,Sin dato
BELLODEPARTAMENTO1D+1B+ESTACIONAMIENTOENMACUL,Macul,50000.0,,1.0,1.0,1,,Sin dato
Departamentocalidoycomodo-oportunidad,Estación Central,,,1.0,1.0,1,,Sin dato
¡HermosoDpto2D+1B+ESTYBOD!¡cercanoAMetroEcuador!,Estación Central,,,2.0,1.0,1,,Sin dato
ArriendoDepto.1D/MesgastocomúnGRATIS/Garantíaenpartes/CercaMetroSanAlbertoHurtado,Estación Central,,,1.0,1.0,0,,Sin dato
DepartamentoCALLESANIGNACIODELOYOLA4250SANMIGUEL-TIPOESTUDIO,San Miguel,,28.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentodeunambienteapasosdelMetro,Santiago,,,1.0,1.0,0,,Sin dato
DepartamentoALAMEDA4103COMUNAESTACIÓNCENTRAL,Estación Central,300000.0,52.0,2.0,2.0,0,5769.0,Pequeño (35-54m2)
DepartamentoenAvenidaMaríaRozasVelásquez,Estación Central,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoenPabloUrzúa,Independencia,,48.0,2.0,1.0,0,,Pequeño (35-54m2)
DepartamentoenWalkerMartínez,La Florida,478400.0,45.0,2.0,2.0,1,10631.0,Pequeño (35-54m2)
DepartamentoCALLECONDEDELMAULE4470/ESTACIÓNCENTRAL,Estación Central,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
DepartamentoCALLESANIGNACIODELOYOLA4250SANMIGUEL-TIPOESTUDIO,San Miguel,,28.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOAmunategui/SanPablo,Santiago,255000.0,35.0,1.0,1.0,0,7286.0,Pequeño (35-54m2)
"DEPTO1HAB+1BAÑ,PISO20,PROMO250.000X2MESES",Estación Central,,,1.0,1.0,0,,Sin dato
DEPARTAMENTOcatedral4245,Quinta Normal,,43.0,1.0,1.0,0,,Pequeño (35-54m2)
DepartamentoPRIMERAAVENIDA1336SANMIGUEL,San Miguel,400000.0,48.0,2.0,1.0,0,8333.0,Pequeño (35-54m2)
DepartamentoCALLEALCALDEPEDROALARCON834-METROELLLANO,San Miguel,540000.0,67.0,3.0,2.0,0,8060.0,Mediano (55-74m2)
Depto.Ñuñoacuadrasmetroirrarazabal-2D/2B-Estacionamiento,Ñuñoa,620000.0,55.0,2.0,2.0,1,11273.0,Mediano (55-74m2)
