Title,Commune,Price,Area_m2,Bedrooms,Bathrooms,ParkingSpots
230.000EXCELENTEESTUDIOMARIOKREUTZBERGER/METROSANTAANA,Santiago,$230.00,,1.0,1.0,
ARRIENDOHERMOSODEPARTAMENTOSANTIAGOCENTRO,Santiago,UF680.000,,3.0,2.0,1
Departamento1D-1BCONESTACIONAMIENTO,Santiago,$250.000-14%,,1.0,1.0,1
1D1B-Terraza-A1cuadradeGranAvenida,SanMiguel,$340.000-11%,38m2,1.0,1.0,1
SearriendahermosodepartamentoSTUDIOenEstaciónCentral,EstaciónCentral,$220.00,,1.0,1.0,
ArriendoDeptoCatedral#2916E3174m2,Santiago,$480.000-3%,74m2,3.0,2.0,
DepartamentoenArriendoLaFlorida,LaFlorida,$350.00,,1.0,1.0,Más
"SantaIsabel353,cercanoMetroSantaIsabel",Santiago,$290.000-3%,,1.0,1.0,
ArriendoDeptoEstudio-MetroSantaIsabel,Santiago,$220.00,20m2,1.0,1.0,
ElBosqueParadero302D-1BSinestacionamiento.MetrosdeGranAvenida,ElBosque,$410.00,,2.0,1.0,
ArriendoDepto.2D+1BCercadeTodoMapocho/EntreRiosDirectoDueño,QuintaNormal,$380.00,,2.0,1.0,
50%DESCUENTOPRIMERMESDEARRIENDO/1DMETROSANALBERTOHURTADO,EstaciónCentral,$260.00,34m2,1.0,1.0,
DESCUETO20%PRIMERMES/HOMESTUDIOMETROSANALBERTOHURTADO,EstaciónCentral,$220.00,22m2,1.0,1.0,
DESCUENTO50%PRIMERMES/1DMETROUNIV.DESANTIAGO,EstaciónCentral,$250.00,34m2,1.0,1.0,
ARRIENDODEPTO.STGO.S,Santiago,$320.00,,1.0,1.0,
Descuento50%Primermesdearriendo/depto1DmetroUnivdeSantiago,EstaciónCentral,$250.000-4%Oportunidad,35m2,1.0,1.0,
DEPTO2D1B+BOD/MET.UNIVERSIDADDESANTIAGO,EstaciónCentral,$320.00,41m2,2.0,1.0,
DEPTO1D/METROECUADOR,EstaciónCentral,$260.00,34m2,1.0,1.0,
Deptoensantiago,Santiago,$370.00,,2.0,1.0,
Departamento1D1B-EdificioLibertad,Santiago,$308.00,,1.0,1.0,
Departamento2Dormitorios-1Baño(EstaciónCentral),EstaciónCentral,$320.00,38m2,2.0,1.0,
DepartamentoMariposa2Dormitorios-2Baños(MetroToesca),Santiago,$440.00,54m2,2.0,2.0,
DepartamentoenSantaPetronila,EstaciónCentral,$380.00,45m2,2.0,1.0,
DepartamentoenNuncioLaghi,Ñuñoa,UF22,70m2,2.0,2.0,1
DepartamentoenAvenidaDepartamental,Cerrillos,$500.000-17%,55m2,2.0,2.0,
DepartamentoenArturoPrat,Santiago,$350.00,37m2,1.0,1.0,
DepartamentoenLosTrigales,LasCondes,UF29-5%,72m2,2.0,2.0,2
DepartamentoenMorandé,Santiago,$350.00,38m2,1.0,1.0,
DepartamentoenArgomedo,Santiago,$550.00,55m2,2.0,2.0,1
DepartamentoenAvenidalosLibertadores,Huechuraba,$650.000-7%,51m2,3.0,1.0,1
DepartamentoenAvenidaCarlosValdovinos,SanJoaquín,$575.00,70m2,3.0,2.0,1
DepartamentoenAvenidaMapocho,QuintaNormal,$310.00,30m2,1.0,1.0,
